seqno,inning,half,pitch_id,pitch_num,pitch_result,pitch_type,speed,pitcher_code,pitcher_name,batter_code,batter_name,balls,strikes,outs,cross_plate_x,cross_plate_y_plane,plate_z,top_sz,bottom_sz,stance
348,7,0,260405_160137,3,B,슬라이더,135,52204,이병헌,56754,오재원,2,1,1,-0.59896,0.7083,0.49226195306415166,3.248,1.576,L
349,7,0,260405_160203,4,H,직구,146,52204,이병헌,56754,오재원,2,1,1,0.558543,0.7083,3.4576937089908704,3.248,1.576,L
352,7,0,260405_160250,1,B,슬라이더,133,52204,이병헌,54730,페라자,1,0,2,1.14601,0.7083,2.78485042010229,3.25,1.576,R
353,7,0,260405_160307,2,H,슬라이더,132,52204,이병헌,54730,페라자,1,0,2,-0.020479,0.7083,1.2982422544799195,3.25,1.576,R
359,7,1,260405_160617,1,B,직구,145,50710,김범준,64646,박찬호,1,0,0,-0.514049,0.7083,3.4305425400554403,3.247,1.575,R
360,7,1,260405_160629,2,T,슬라이더,134,50710,김범준,64646,박찬호,1,1,0,0.616793,0.7083,3.350512672337544,3.247,1.575,R
361,7,1,260405_160647,3,F,슬라이더,133,50710,김범준,64646,박찬호,1,2,0,0.303978,0.7083,2.1233620523602292,3.247,1.575,R
362,7,1,260405_160709,4,H,직구,146,50710,김범준,64646,박찬호,1,2,0,-0.912382,0.7083,3.179446973789969,3.247,1.575,R
367,7,1,260405_160826,1,B,슬라이더,136,50710,김범준,50204,박지훈,1,0,0,-1.06902,0.7083,1.947516221125908,3.38,1.639,R
369,7,1,260405_160910,2,B,직구,141,50710,김범준,50204,박지훈,2,0,0,-1.82305,0.7083,2.3169641224449684,3.38,1.639,R
370,7,1,260405_160938,3,H,직구,144,50710,김범준,50204,박지훈,2,0,0,-0.776636,0.7083,3.279539805314182,3.38,1.639,R
375,7,1,260405_161047,2,B,커브,122,50710,김범준,67207,이유찬,2,0,1,0.013023,0.7083,4.061698673182046,3.25,1.576,R
376,7,1,260405_161103,3,T,슬라이더,133,50710,김범준,67207,이유찬,2,1,1,-0.085839,0.7083,3.2243180360525403,3.25,1.576,R
377,7,1,260405_161120,4,B,직구,146,50710,김범준,67207,이유찬,3,1,1,-1.50652,0.7083,3.610722667890851,3.25,1.576,R
378,7,1,260405_161146,5,H,직구,146,50710,김범준,67207,이유찬,3,1,1,-0.122664,0.7083,2.547257218567026,3.25,1.576,R
382,7,1,260405_161220,1,T,커브,122,50710,김범준,55252,박준순,0,1,2,0.141822,0.7083,2.41083526112556,3.27,1.586,R
383,7,1,260405_161232,2,F,직구,147,50710,김범준,55252,박준순,0,2,2,0.046246,0.7083,3.765860109229448,3.27,1.586,R
384,7,1,260405_161254,3,H,직구,146,50710,김범준,55252,박준순,0,2,2,0.429206,0.7083,3.12790610609553,3.27,1.586,R
388,7,1,260405_161543,1,B,직구,147,54705,김도빈,79231,정수빈,1,0,2,-0.426158,0.7083,3.79345465604845,3.221,1.562,L
389,7,1,260405_161559,2,T,체인지업,121,54705,김도빈,79231,정수빈,1,1,2,-0.214909,0.7083,1.5070706233322113,3.221,1.562,L
390,7,1,260405_161614,3,S,체인지업,123,54705,김도빈,79231,정수빈,1,2,2,0.322309,0.7083,1.7235889356268754,3.221,1.562,L
391,7,1,260405_161634,4,H,체인지업,121,54705,김도빈,79231,정수빈,1,2,2,-0.851965,0.7083,2.070014976811906,3.221,1.562,L
395,8,0,260405_161853,1,B,슬라이더,134,52204,이병헌,66704,김태연,1,0,0,0.918685,0.7083,2.8839566811352757,3.232,1.568,R
396,8,0,260405_161909,2,T,슬라이더,134,52204,이병헌,66704,김태연,1,1,0,-0.567271,0.7083,2.787461893977365,3.232,1.568,R
397,8,0,260405_161928,3,F,슬라이더,137,52204,이병헌,66704,김태연,1,2,0,0.854483,0.7083,1.504654065751093,3.232,1.568,R
398,8,0,260405_161951,4,F,슬라이더,135,52204,이병헌,66704,김태연,1,2,0,0.087923,0.7083,3.555603221056487,3.232,1.568,R
399,8,0,260405_162019,5,F,슬라이더,135,52204,이병헌,66704,김태연,1,2,0,-0.707584,0.7083,2.3918777515295595,3.232,1.568,R
400,8,0,260405_162043,6,S,슬라이더,136,52204,이병헌,66704,김태연,1,3,0,-0.758474,0.7083,0.5178587249447153,3.232,1.568,R
403,8,0,260405_162120,1,S,슬라이더,136,52204,이병헌,69737,노시환,0,1,1,-0.315053,0.7083,0.7852553496625885,3.364,1.631,R
404,8,0,260405_162151,2,H,직구,150,52204,이병헌,69737,노시환,0,1,1,-0.007215,0.7083,2.5255531180638666,3.364,1.631,R
407,8,0,260405_162233,1,S,직구,148,52204,이병헌,68050,강백호,0,1,2,0.164642,0.7083,2.9918395767209445,3.333,1.616,L
408,8,0,260405_162306,2,B,직구,148,52204,이병헌,68050,강백호,1,1,2,-1.1702,0.7083,2.9631126993003036,3.333,1.616,L
409,8,0,260405_162324,3,H,슬라이더,136,52204,이병헌,68050,강백호,1,1,2,0.466888,0.7083,2.014833207341886,3.333,1.616,L
414,8,1,260405_162543,1,T,직구,148,54705,김도빈,76232,양의지,0,1,0,-0.47148,0.7083,3.145311468313402,3.311,1.606,R
415,8,1,260405_162604,2,B,체인지업,124,54705,김도빈,76232,양의지,1,1,0,0.436545,0.7083,1.0803273077201223,3.311,1.606,R
416,8,1,260405_162619,3,B,직구,145,54705,김도빈,76232,양의지,2,1,0,-2.05378,0.7083,3.0917692587102175,3.311,1.606,R
419,8,1,260405_162702,1,S,체인지업,122,54705,김도빈,56251,카메론,0,1,0,-0.422527,0.7083,2.2651814020089187,3.378,1.639,R
420,8,1,260405_162717,2,S,체인지업,123,54705,김도빈,56251,카메론,0,2,0,-0.930176,0.7083,2.764261098765097,3.378,1.639,R
421,8,1,260405_162736,3,B,체인지업,120,54705,김도빈,56251,카메론,1,2,0,1.75843,0.7083,-0.027086661132180723,3.378,1.639,R
423,8,1,260405_162812,4,B,직구,146,54705,김도빈,56251,카메론,2,2,0,-0.341878,0.7083,4.8834921355236,3.378,1.639,R
424,8,1,260405_162830,5,F,체인지업,122,54705,김도빈,56251,카메론,2,2,0,-0.936287,0.7083,3.059463927584165,3.378,1.639,R
425,8,1,260405_162853,6,S,체인지업,121,54705,김도빈,56251,카메론,2,3,0,0.011285,0.7083,1.5329472117460496,3.378,1.639,R
428,8,1,260405_162928,1,B,체인지업,123,54705,김도빈,51203,안재석,1,0,1,-0.091168,0.7083,3.9890219918849534,3.422,1.66,L
429,8,1,260405_162949,2,B,직구,144,54705,김도빈,51203,안재석,2,0,1,-0.960909,0.7083,3.7348202795554513,3.422,1.66,L
430,8,1,260405_163005,3,B,체인지업,122,54705,김도빈,51203,안재석,3,0,1,1.16741,0.7083,-0.2880145048494067,3.422,1.66,L
431,8,1,260405_163031,4,B,직구,144,54705,김도빈,51203,안재석,4,0,1,-1.1947,0.7083,4.308259478458385,3.422,1.66,L
435,8,1,260405_163129,1,F,체인지업,123,54705,김도빈,64153,양석환,0,1,1,-0.874101,0.7083,2.0864999961776918,3.415,1.656,R
436,8,1,260405_163159,2,T,체인지업,122,54705,김도빈,64153,양석환,0,2,1,-0.420747,0.7083,2.9864784109880405,3.415,1.656,R
437,8,1,260405_163217,3,F,직구,145,54705,김도빈,64153,양석환,0,2,1,1.31742,0.7083,2.1661569134913226,3.415,1.656,R
438,8,1,260405_163238,4,S,체인지업,121,54705,김도빈,64153,양석환,0,3,1,1.04053,0.7083,2.8979496834037297,3.415,1.656,R
441,8,1,260405_163312,1,B,체인지업,120,54705,김도빈,64646,박찬호,1,0,2,-1.15807,0.7083,1.2086448189194212,3.247,1.575,R
442,8,1,260405_163327,2,B,체인지업,122,54705,김도빈,64646,박찬호,2,0,2,0.254629,0.7083,1.0977377858310278,3.247,1.575,R
443,8,1,260405_163347,3,T,체인지업,121,54705,김도빈,64646,박찬호,2,1,2,0.005202,0.7083,1.7008858642665161,3.247,1.575,R
444,8,1,260405_163404,4,B,체인지업,122,54705,김도빈,64646,박찬호,3,1,2,0.450594,0.7083,-0.09190387530082811,3.247,1.575,R
445,8,1,260405_163425,5,B,직구,144,54705,김도빈,64646,박찬호,4,1,2,1.14751,0.7083,2.347772492957876,3.247,1.575,R
450,8,1,260405_163504,1,T,직구,142,54705,김도빈,50204,박지훈,0,1,2,0.245283,0.7083,2.8808018564951476,3.38,1.639,R
451,8,1,260405_163519,2,B,직구,145,54705,김도빈,50204,박지훈,1,1,2,0.044956,0.7083,4.121156664773447,3.38,1.639,R
452,8,1,260405_163537,3,F,직구,142,54705,김도빈,50204,박지훈,1,2,2,-0.203046,0.7083,1.4284758592008724,3.38,1.639,R
453,8,1,260405_163602,4,B,체인지업,123,54705,김도빈,50204,박지훈,2,2,2,1.00094,0.7083,0.6087570279761261,3.38,1.639,R
454,8,1,260405_163624,5,H,직구,145,54705,김도빈,50204,박지훈,2,2,2,0.332578,0.7083,2.6975338232483863,3.38,1.639,R
460,8,1,260405_163721,1,B,체인지업,121,54705,김도빈,67207,이유찬,1,0,2,1.22625,0.7083,-1.6723186902698597,3.25,1.576,R
462,8,1,260405_163750,2,B,직구,143,54705,김도빈,67207,이유찬,2,0,2,-0.741669,0.7083,3.542594496696471,3.25,1.576,R
463,8,1,260405_163804,3,F,직구,145,54705,김도빈,67207,이유찬,2,1,2,-0.338209,0.7083,2.746711558073499,3.25,1.576,R
464,8,1,260405_163823,4,B,직구,144,54705,김도빈,67207,이유찬,3,1,2,-2.14814,0.7083,4.2017281634095305,3.25,1.576,R
470,8,1,260405_164157,1,T,직구,151,55743,정우주,55252,박준순,0,1,2,0.562122,0.7083,1.744940260610936,3.27,1.586,R
471,8,1,260405_164213,2,H,직구,151,55743,정우주,55252,박준순,0,1,2,0.424984,0.7083,3.1617563904286583,3.27,1.586,R
475,8,1,260405_164304,1,B,직구,151,55743,정우주,79231,정수빈,1,0,2,-1.14623,0.7083,2.2388698551056496,3.221,1.562,L
476,8,1,260405_164321,2,B,직구,152,55743,정우주,79231,정수빈,2,0,2,-1.99557,0.7083,2.767710450001589,3.221,1.562,L
477,8,1,260405_164340,3,B,직구,151,55743,정우주,79231,정수빈,3,0,2,0.455435,0.7083,1.401986737225584,3.221,1.562,L
478,8,1,260405_164400,4,B,직구,148,55743,정우주,79231,정수빈,4,0,2,-0.359426,0.7083,3.4843302923722614,3.221,1.562,L
483,8,1,260405_164440,1,B,커브,121,55743,정우주,76232,양의지,1,0,2,-0.450406,0.7083,6.169140791135415,3.311,1.606,R
484,8,1,260405_164502,2,S,직구,151,55743,정우주,76232,양의지,1,1,2,-0.209965,0.7083,2.624416590866696,3.311,1.606,R
485,8,1,260405_164523,3,B,직구,153,55743,정우주,76232,양의지,2,1,2,1.44576,0.7083,2.977520584711402,3.311,1.606,R
486,8,1,260405_164544,4,H,직구,151,55743,정우주,76232,양의지,2,1,2,-0.441334,0.7083,2.1041106349769216,3.311,1.606,R
493,9,0,260405_164831,1,H,직구,151,54263,김택연,79192,채은성,0,0,0,0.73368,0.7083,2.599826595456893,3.424,1.661,R
496,9,0,260405_164903,1,B,직구,151,54263,김택연,54795,황영묵,1,0,1,1.23137,0.7083,2.5697420095439587,3.272,1.587,L
497,9,0,260405_164917,2,F,슬라이더,134,54263,김택연,54795,황영묵,1,1,1,0.882493,0.7083,1.3391332170240458,3.272,1.587,L
498,9,0,260405_164938,3,B,포크,138,54263,김택연,54795,황영묵,2,1,1,0.406506,0.7083,4.056305951524641,3.272,1.587,L
499,9,0,260405_164954,4,B,포크,134,54263,김택연,54795,황영묵,3,1,1,-1.31474,0.7083,3.6022973367812643,3.272,1.587,L
500,9,0,260405_165009,5,T,직구,149,54263,김택연,54795,황영묵,3,2,1,-0.648002,0.7083,1.7825039680606232,3.272,1.587,L
501,9,0,260405_165026,6,H,직구,150,54263,김택연,54795,황영묵,3,2,1,1.14938,0.7083,2.901675069761942,3.272,1.587,L
504,9,0,260405_165100,1,B,슬라이더,137,54263,김택연,52764,허인서,1,0,2,1.05847,0.7083,1.91768502451536,3.4,1.649,R
505,9,0,260405_165114,2,S,슬라이더,136,54263,김택연,52764,허인서,1,1,2,0.031095,0.7083,2.544865015552556,3.4,1.649,R
506,9,0,260405_165130,3,B,슬라이더,133,54263,김택연,52764,허인서,2,1,2,-1.58057,0.7083,2.5420590368633422,3.4,1.649,R
507,9,0,260405_165145,4,T,슬라이더,134,54263,김택연,52764,허인서,2,2,2,0.40135,0.7083,2.660976378890181,3.4,1.649,R
508,9,0,260405_165201,5,B,직구,152,54263,김택연,52764,허인서,3,2,2,0.561929,0.7083,0.5904893088013798,3.4,1.649,R
509,9,0,260405_165220,6,B,슬라이더,132,54263,김택연,52764,허인서,4,2,2,1.43569,0.7083,3.2566350819743586,3.4,1.649,R
513,9,0,260405_165310,1,B,직구,149,54263,김택연,50707,최인호,1,0,2,-0.191007,0.7083,0.10948928492623367,3.296,1.599,L
514,9,0,260405_165329,2,F,직구,148,54263,김택연,50707,최인호,1,1,2,0.16706,0.7083,3.8242054318163987,3.296,1.599,L
515,9,0,260405_165351,3,T,포크,135,54263,김택연,50707,최인호,1,2,2,-0.166856,0.7083,2.6338417448640588,3.296,1.599,L
516,9,0,260405_165410,4,S,포크,135,54263,김택연,50707,최인호,1,3,2,-0.12779,0.7083,0.6377037427212136,3.296,1.599,L
